cases,deaths,name,ratio
1092.0,36.0,Afghanistan,30.33
609.0,26.0,Albania,23.42
2811.0,392.0,Algeria,7.17
717.0,37.0,Andorra,19.38
24.0,2.0,Angola,12.0
3.0,0.0,Anguilla,0.0
24.0,3.0,Antigua_and_Barbuda,8.0
3132.0,151.0,Argentina,20.74
1473.0,24.0,Armenia,61.38
97.0,2.0,Aruba,48.5
6647.0,74.0,Australia,89.82
14833.0,463.0,Austria,32.04
1480.0,20.0,Azerbaijan,74.0
65.0,9.0,Bahamas,7.22
1973.0,7.0,Bahrain,281.86
3382.0,110.0,Bangladesh,30.75
75.0,5.0,Barbados,15.0
6723.0,55.0,Belarus,122.24
40956.0,5998.0,Belgium,6.83
18.0,2.0,Belize,9.0
54.0,1.0,Benin,54.0
98.0,5.0,Bermuda,19.6
6.0,0.0,Bhutan,0.0
609.0,37.0,Bolivia,16.46
6.0,0.0,"Bonaire, Saint Eustatius and Saba",0.0
1340.0,50.0,Bosnia_and_Herzegovina,26.8
20.0,1.0,Botswana,20.0
43079.0,2741.0,Brazil,15.72
5.0,1.0,British_Virgin_Islands,5.0
138.0,1.0,Brunei_Darussalam,138.0
975.0,45.0,Bulgaria,21.67
600.0,38.0,Burkina_Faso,15.79
6.0,1.0,Burundi,6.0
122.0,0.0,Cambodia,0.0
1163.0,42.0,Cameroon,27.69
38413.0,1834.0,Canada,20.94
67.0,1.0,Cape_Verde,67.0
696.0,7.0,Cases_on_an_international_conveyance_Japan,99.43
66.0,1.0,Cayman_Islands,66.0
14.0,0.0,Central_African_Republic,0.0
34.0,0.0,Chad,0.0
10832.0,147.0,Chile,73.69
83864.0,4636.0,China,18.09
4149.0,196.0,Colombia,21.17
165.0,6.0,Congo,27.5
669.0,6.0,Costa_Rica,111.5
916.0,13.0,Cote_dIvoire,70.46
1908.0,48.0,Croatia,39.75
1137.0,38.0,Cuba,29.92
14.0,1.0,Curaçao,14.0
784.0,17.0,Cyprus,46.12
7041.0,201.0,Czechia,35.03
359.0,25.0,Democratic_Republic_of_the_Congo,14.36
7695.0,370.0,Denmark,20.8
945.0,2.0,Djibouti,472.5
16.0,0.0,Dominica,0.0
5044.0,245.0,Dominican_Republic,20.59
10398.0,520.0,Ecuador,20.0
3490.0,264.0,Egypt,13.22
225.0,7.0,El_Salvador,32.14
79.0,0.0,Equatorial_Guinea,0.0
39.0,0.0,Eritrea,0.0
1552.0,43.0,Estonia,36.09
24.0,1.0,Eswatini,24.0
114.0,3.0,Ethiopia,38.0
12.0,0.0,Falkland_Islands_(Malvinas),0.0
185.0,0.0,Faroe_Islands,0.0
18.0,0.0,Fiji,0.0
4014.0,141.0,Finland,28.47
117324.0,20796.0,France,5.64
57.0,0.0,French_Polynesia,0.0
156.0,1.0,Gabon,156.0
10.0,1.0,Gambia,10.0
408.0,4.0,Georgia,102.0
145694.0,4879.0,Germany,29.86
